Statut CE,Statut FR,Appellation,Dénomination,Produit,Catégorie générale,Sous Catégorie,Couleur,Sucrosité,Mention,Code INAO,url site
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Olive de Nice,Olive de Nice,Olive de Nice,Fruits légumes et céréales en l'état ou transformés,Olive,,,,,http://www.inao.gouv.fr/produit/9067
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Oignon de Roscoff,Oignon de Roscoff,Oignon de Roscoff,Fruits légumes et céréales en l'état ou transformés,Bulbe,,,,,http://www.inao.gouv.fr/produit/7935
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Huile d'olive de Nyons,Huile d'olive de Nyons,Huile d'olive de Nyons,Huiles et matières grasses (beurre margarine huiles etc.),Huile,,,,,http://www.inao.gouv.fr/produit/7934
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Fin Gras du Mézenc ou Fin Gras,Fin Gras du Mézenc,Fin Gras du Mézenc,Viandes (et abats) frais,Bovin,,,,,http://www.inao.gouv.fr/produit/7926
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Prés-salés de la baie de Somme,Prés-salés de la baie de Somme,Prés-salés de la baie de Somme,Viandes (et abats) frais,Ovin,,,,,http://www.inao.gouv.fr/produit/7925
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Tome des Bauges,Tome des Bauges,Tome des Bauges,Fromages,Pâte pressée non cuite,,,,,http://www.inao.gouv.fr/produit/7886
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Epoisses,Epoisses,Epoisses,Fromages,Pâte molle et croûte lavée,,,,,http://www.inao.gouv.fr/produit/7148
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Huile d'olive de Nîmes,Huile d'olive de Nîmes,Huile d'olive de Nïmes,Huiles et matières grasses (beurre margarine huiles etc.),Huile,,,,,http://www.inao.gouv.fr/produit/7111
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Mâconnais,Mâconnais,Mâconnais,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/7110
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Farine de châtaigne corse - Farina castagnina corsa,Farine de châtaigne corse - Farina castagnina corsa,Farine de châtaigne corse - Farina castagnina corsa,Fruits légumes et céréales en l'état ou transformés,Fruit à coque,,,,,http://www.inao.gouv.fr/produit/7109
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Béa du Roussillon,Béa du Roussillon,Béa du Roussillon,Fruits légumes et céréales en l'état ou transformés,Tubercule,,,,,http://www.inao.gouv.fr/produit/7099
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Noix du Périgord,Noix du Périgord,Noix du Périgord,Fruits légumes et céréales en l'état ou transformés,Fruit à coque,,,,,http://www.inao.gouv.fr/produit/6431
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Miel de Corse - Mele di Corsica,Miel de Corse - Mele di Corsica,Miel de Corse - Mele di Corsica,Autres produits d'origine animale (oeufs miel produits laitiers sauf beurre etc.),Miel,,,,,http://www.inao.gouv.fr/produit/4668
IGP - Indication géographique protégée,,Pomelo de Corse,Pomelo de Corse,Pomelo de Corse,Fruits légumes et céréales en l'état ou transformés,Agrume,,,,,http://www.inao.gouv.fr/produit/4621
IGP - Indication géographique protégée,,Pomme de terre de Noirmoutier,Pomme de terre de Noirmoutier,Pomme de terre de Noirmoutier,Fruits légumes et céréales en l'état ou transformés,Tubercule,,,,,http://www.inao.gouv.fr/produit/4598
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Livarot,Livarot,Livarot,Fromages,Pâte molle et croûte lavée,,,,,http://www.inao.gouv.fr/produit/4593
IGP - Indication géographique protégée,,Gâche vendéenne,Gâche vendéenne,Gâche vendéenne,Produits de boulangerie pâtisserie confiserie ou biscuiterie,Viennoiserie,,,,,http://www.inao.gouv.fr/produit/4591
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Pouligny-Saint-Pierre,Pouligny-Saint-Pierre,Pouligny-Saint-Pierre,Fromages,Chèvre,,,,,http://www.inao.gouv.fr/produit/4583
IGP - Indication géographique protégée,,Lentilles vertes du Berry,Lentilles vertes du Berry,Lentilles vertes du Berry,Fruits légumes et céréales en l'état ou transformés,Légume sec,,,,,http://www.inao.gouv.fr/produit/4579
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Bleu d'Auvergne,Bleu d'Auvergne,Bleu d'Auvergne,Fromages,Pâte persillée,,,,,http://www.inao.gouv.fr/produit/4562
