id;produit;nom;siret;adresse;tel;fax;contact_nom;contact_mail;reconnaissance;prez;motscles
10000;Santenay premier cru Clos Rousseau blanc;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Blanc - Sec (usage) - Premier cru - 1B280 04;
10001;Santenay premier cru Clos Rousseau rouge;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Rouge - Sec (usage) - Premier cru - 1R280 04;
10002;Santenay premier cru Grand Clos Rousseau blanc;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Blanc - Sec (usage) - Premier cru - 1B280 07;
10003;Santenay premier cru Grand Clos Rousseau rouge;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Rouge - Sec (usage) - Premier cru - 1R280 07;
10004;Santenay premier cru La Comme blanc;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Blanc - Sec (usage) - Premier cru - 1B280 08;
10005;Santenay premier cru La Comme rouge;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Rouge - Sec (usage) - Premier cru - 1R280 08;
10006;Santenay premier cru La Maladière blanc;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Blanc - Sec (usage) - Premier cru - 1B280 09;
10007;Santenay premier cru La Maladière rouge;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Rouge - Sec (usage) - Premier cru - 1R280 09;
10008;Santenay premier cru Les Gravières blanc;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Blanc - Sec (usage) - Premier cru - 1B280 10;
10009;Santenay premier cru Les Gravières rouge;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Rouge - Sec (usage) - Premier cru - 1R280 10;
10010;Santenay premier cru Les Gravières-Clos de Tavannes blanc;Syndicat de défense des AOC Santenay et Santenay 1er cru;;3 rue Sainte Agathe 21590 Santenay;;;CAVB;cavb@cavb.fr;CNV2007/173 du 12 novembre 2007;Monsieur Benoît GIRARDIN;Vins - Vin tranquille - Blanc - Sec (usage) - Premier cru - 1B280 11;
