Statut CE,Statut FR,Appellation,Dénomination,Produit,Catégorie générale,Sous Catégorie,Couleur,Sucrosité,Mention,Code INAO,url site
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Santenay,Santenay premier cru Clos Faubard,Santenay premier cru Clos Faubard rouge,Vins,Vin tranquille,Rouge,Sec (usage),Premier cru,1R280 03,http://www.inao.gouv.fr/produit/9999
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Santenay,Santenay premier cru Clos Faubard,Santenay premier cru Clos Faubard blanc,Vins,Vin tranquille,Blanc,Sec (usage),Premier cru,1B280 03,http://www.inao.gouv.fr/produit/9998
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Santenay,Santenay premier cru Clos des Mouches,Santenay premier cru Clos des Mouches rouge,Vins,Vin tranquille,Rouge,Sec (usage),Premier cru,1R280 06,http://www.inao.gouv.fr/produit/9997
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Santenay,Santenay premier cru Clos des Mouches,Santenay premier cru Clos des Mouches blanc,Vins,Vin tranquille,Blanc,Sec (usage),Premier cru,1B280 06,http://www.inao.gouv.fr/produit/9996
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Santenay,Santenay premier cru Clos de Tavannes,Santenay premier cru Clos de Tavannes rouge,Vins,Vin tranquille,Rouge,Sec (usage),Premier cru,1R280 05,http://www.inao.gouv.fr/produit/9995
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Santenay,Santenay premier cru Clos de Tavannes,Santenay premier cru Clos de Tavannes blanc,Vins,Vin tranquille,Blanc,Sec (usage),Premier cru,1B280 05,http://www.inao.gouv.fr/produit/9994
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Santenay,Santenay premier cru,Santenay premier cru blanc,Vins,Vin tranquille,Blanc,Sec (usage),Premier cru,1B280,http://www.inao.gouv.fr/produit/9993
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Santenay,Santenay premier cru Beaurepaire,Santenay premier cru Beaurepaire rouge,Vins,Vin tranquille,Rouge,Sec (usage),Premier cru,1R280 02,http://www.inao.gouv.fr/produit/9992
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Santenay,Santenay premier cru Beaurepaire,Santenay premier cru Beaurepaire blanc,Vins,Vin tranquille,Blanc,Sec (usage),Premier cru,1B280 02,http://www.inao.gouv.fr/produit/9991
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Santenay,Santenay premier cru Beauregard,Santenay premier cru Beauregard rouge,Vins,Vin tranquille,Rouge,Sec (usage),Premier cru,1R280 01,http://www.inao.gouv.fr/produit/9990
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Santenay,Santenay premier cru Beauregard,Santenay premier cru Beauregard blanc,Vins,Vin tranquille,Blanc,Sec (usage),Premier cru,1B280 01,http://www.inao.gouv.fr/produit/9989
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Saint-Aubin,Saint-Aubin ou Saint-Aubin Côte de Beaune,Saint-Aubin rouge ou Saint-Aubin Côte de Beaune,Vins,Vin tranquille,Rouge,Sec (usage),,1R426,http://www.inao.gouv.fr/produit/9988
